authorships,doi,publication_year,type,is_oa,source_display_name,source_id,issn_l,host_organization,host_organization_name,landing_page_url,pdf_url,license,version
,https://doi.org/10.1056/nejmoa2515458,2025,article,FALSE,New England Journal of Medicine,https://openalex.org/S62468778,0028-4793,https://openalex.org/P4310320239,Massachusetts Medical Society,https://doi.org/10.1056/nejmoa2515458,NA,NA,publishedVersion
,https://doi.org/10.1056/nejmoa2501396,2025,article,FALSE,New England Journal of Medicine,https://openalex.org/S62468778,0028-4793,https://openalex.org/P4310320239,Massachusetts Medical Society,https://doi.org/10.1056/nejmoa2501396,NA,NA,publishedVersion
,https://doi.org/10.1016/j.trac.2025.118487,2025,article,TRUE,TrAC Trends in Analytical Chemistry,https://openalex.org/S64920681,0165-9936,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.trac.2025.118487,NA,cc-by,publishedVersion
,https://doi.org/10.1016/j.cell.2025.11.014,2025,article,TRUE,Cell,https://openalex.org/S110447773,0092-8674,https://openalex.org/P4310315673,Elsevier BV,https://doi.org/10.1016/j.cell.2025.11.014,NA,cc-by,publishedVersion
,https://doi.org/10.1016/j.eclinm.2025.103588,2025,review,TRUE,EClinicalMedicine,https://openalex.org/S2898347799,2589-5370,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.eclinm.2025.103588,NA,cc-by,publishedVersion
,https://doi.org/10.1126/science.adz8900,2025,article,TRUE,Science,https://openalex.org/S3880285,0036-8075,https://openalex.org/P4310315823,American Association for the Advancement of Science,https://doi.org/10.1126/science.adz8900,NA,cc-by,publishedVersion
,https://doi.org/10.1038/s41467-025-65363-1,2025,article,TRUE,Nature Communications,https://openalex.org/S64187185,2041-1723,https://openalex.org/P4310319908,Springer Nature,https://doi.org/10.1038/s41467-025-65363-1,https://www.nature.com/articles/s41467-025-65363-1.pdf,cc-by,publishedVersion
,https://doi.org/10.1126/sciadv.ady6751,2025,article,TRUE,Science Advances,https://openalex.org/S2737427234,2375-2548,https://openalex.org/P4310315823,American Association for the Advancement of Science,https://doi.org/10.1126/sciadv.ady6751,NA,cc-by-nc,publishedVersion
,https://doi.org/10.3390/catal15100946,2025,article,TRUE,Catalysts,https://openalex.org/S2738539744,2073-4344,https://openalex.org/P4310310987,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/catal15100946,https://www.mdpi.com/2073-4344/15/10/946/pdf?version=1759382700,cc-by,publishedVersion
,https://doi.org/10.1038/s41591-025-03976-1,2025,article,TRUE,Nature Medicine,https://openalex.org/S203256638,1078-8956,https://openalex.org/P4310319908,Springer Nature,https://doi.org/10.1038/s41591-025-03976-1,https://www.nature.com/articles/s41591-025-03976-1.pdf,cc-by,publishedVersion
,https://doi.org/10.1192/bjp.2025.10379,2025,article,TRUE,The British Journal of Psychiatry,https://openalex.org/S127936299,0007-1250,https://openalex.org/P4310311721,Cambridge University Press,https://doi.org/10.1192/bjp.2025.10379,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/39F3437B5E8F56F2DCCD3EEFB512E7AC/S0007125025103796a.pdf/div-class-title-cue-reactivity-towards-distal-cues-in-specific-types-of-problematic-usage-of-the-internet-findings-from-diagnostically-validated-samples-div.pdf,cc-by-nc,publishedVersion
,https://doi.org/10.1186/s12966-025-01851-3,2025,article,TRUE,International Journal of Behavioral Nutrition and Physical Activity,https://openalex.org/S182748528,1479-5868,https://openalex.org/P4310320256,Springer Nature,https://doi.org/10.1186/s12966-025-01851-3,https://ijbnpa.biomedcentral.com/counter/pdf/10.1186/s12966-025-01851-3,cc-by,publishedVersion
,https://doi.org/10.1038/s41586-025-10078-y,2026,article,FALSE,Nature,https://openalex.org/S137773608,0028-0836,https://openalex.org/P4310319908,Springer Nature,https://doi.org/10.1038/s41586-025-10078-y,NA,NA,publishedVersion
,https://doi.org/10.1016/j.cca.2025.120728,2025,article,TRUE,Clinica Chimica Acta,https://openalex.org/S207549998,0009-8981,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.cca.2025.120728,NA,cc-by,publishedVersion
,https://doi.org/10.1182/blood-2025-5199,2025,article,TRUE,Blood,https://openalex.org/S200071133,0006-4971,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/blood-2025-5199,https://ashpublications.org/blood/article-pdf/146/Supplement 1/5199/2457524/blood-7946-main.pdf,NA,publishedVersion
,https://doi.org/10.1038/s41593-025-02157-0,2025,article,FALSE,Nature Neuroscience,https://openalex.org/S2298632,1097-6256,https://openalex.org/P4310319908,Springer Nature,https://doi.org/10.1038/s41593-025-02157-0,NA,NA,publishedVersion
,https://doi.org/10.1001/jamaneurol.2025.4946,2026,article,TRUE,JAMA Neurology,https://openalex.org/S164389565,2168-6149,https://openalex.org/P4310320259,American Medical Association,https://doi.org/10.1001/jamaneurol.2025.4946,https://jamanetwork.com/journals/jamaneurology/articlepdf/2843130/jamaneurology_miller_2025_oi_250084_1769188938.09478.pdf,cc-by-nc-nd,publishedVersion
,https://doi.org/10.1038/s41557-025-02048-8,2026,article,TRUE,Nature Chemistry,https://openalex.org/S202193212,1755-4330,https://openalex.org/P4310319908,Springer Nature,https://doi.org/10.1038/s41557-025-02048-8,https://www.nature.com/articles/s41557-025-02048-8.pdf,cc-by,publishedVersion
,https://doi.org/10.1021/jacs.5c12590,2025,article,TRUE,Journal of the American Chemical Society,https://openalex.org/S111155417,0002-7863,https://openalex.org/P4310320006,American Chemical Society,https://doi.org/10.1021/jacs.5c12590,NA,cc-by,publishedVersion
,https://doi.org/10.1002/hem3.70258,2025,article,TRUE,HemaSphere,https://openalex.org/S4210211592,2572-9241,https://openalex.org/P4310318547,Wolters Kluwer,https://doi.org/10.1002/hem3.70258,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hem3.70258,cc-by,publishedVersion
