id,display_name,orcid,author_position,is_corresponding,affiliations_id,affiliations_display_name,affiliations_ror,affiliations_country_code,affiliations_type,affiliations_lineage,affiliation_raw,doi,publication_year,type,is_oa,source_display_name,source_id,issn_l,host_organization,host_organization_name,landing_page_url,pdf_url,license,version
https://openalex.org/A5045936419,M. M. Abdelhamied,https://orcid.org/0000-0001-5235-6752,first,FALSE,https://openalex.org/I196349391,Universität Ulm,https://ror.org/032000t02,DE,education,https://openalex.org/I196349391,"Chemistry Department, Faculty of Science, Cairo University, Giza, 12613, Egypt",https://doi.org/10.1016/j.trac.2025.118487,2025,article,TRUE,TrAC Trends in Analytical Chemistry,https://openalex.org/S64920681,0165-9936,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.trac.2025.118487,NA,cc-by,publishedVersion
https://openalex.org/A5074645145,Nicola Lorenzoni,https://orcid.org/0000-0002-1372-1283,first,FALSE,https://openalex.org/I196349391,Universität Ulm,https://ror.org/032000t02,DE,education,https://openalex.org/I196349391,"Institute of Theoretical Physics and IQST, Albert-Einstein Allee 11, Ulm University, 89081 Ulm, Germany",https://doi.org/10.1126/sciadv.ady6751,2025,article,TRUE,Science Advances,https://openalex.org/S2737427234,2375-2548,https://openalex.org/P4310315823,American Association for the Advancement of Science,https://doi.org/10.1126/sciadv.ady6751,NA,cc-by-nc,publishedVersion
https://openalex.org/A5031575201,Lázaro Adrián González-Fernández,https://orcid.org/0000-0002-1085-3707,first,TRUE,https://openalex.org/I196349391,Universität Ulm,https://ror.org/032000t02,DE,education,https://openalex.org/I196349391,"Faculty of Sciences, University of Granada, 18071 Granada, Spain",https://doi.org/10.3390/catal15100946,2025,article,TRUE,Catalysts,https://openalex.org/S2738539744,2073-4344,https://openalex.org/P4310310987,Multidisciplinary Digital Publishing Institute,https://doi.org/10.3390/catal15100946,https://www.mdpi.com/2073-4344/15/10/946/pdf?version=1759382700,cc-by,publishedVersion
https://openalex.org/A5046064085,Stefanie Zorn,https://orcid.org/0000-0001-9375-4845,first,FALSE,https://openalex.org/I196349391,Universität Ulm,https://ror.org/032000t02,DE,education,https://openalex.org/I196349391,"Division of Pediatric Endocrinology and Diabetes, Center for Rare Endocrine Diseases, Department of Pediatrics and Adolescent Medicine, Ulm University Medical Center and German Center for Child and Adolescent Health (DZKJ), Ulm, Germany",https://doi.org/10.1038/s41591-025-03976-1,2025,article,TRUE,Nature Medicine,https://openalex.org/S203256638,1078-8956,https://openalex.org/P4310319908,Springer Nature,https://doi.org/10.1038/s41591-025-03976-1,https://www.nature.com/articles/s41591-025-03976-1.pdf,cc-by,publishedVersion
https://openalex.org/A5029102634,Stefan Pleus,https://orcid.org/0000-0003-4629-7754,first,TRUE,https://openalex.org/I196349391,Universität Ulm,https://ror.org/032000t02,DE,education,https://openalex.org/I196349391,"IFCC Scientific Division - Working Group on Continuous Glucose Monitoring, Italy; Institut für Diabetes-Technologie Ulm GmbH, Ulm, Germany. Electronic address: stefan.pleus@idt-ulm.de",https://doi.org/10.1016/j.cca.2025.120728,2025,article,TRUE,Clinica Chimica Acta,https://openalex.org/S207549998,0009-8981,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.cca.2025.120728,NA,cc-by,publishedVersion
https://openalex.org/A5089395073,Hartmut Döhner,https://orcid.org/0000-0003-2116-5536,first,TRUE,https://openalex.org/I196349391,Universität Ulm,https://ror.org/032000t02,DE,education,https://openalex.org/I196349391,"1Ulm University, Ulm, Germany",https://doi.org/10.1182/blood-2025-5199,2025,article,TRUE,Blood,https://openalex.org/S200071133,0006-4971,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1182/blood-2025-5199,https://ashpublications.org/blood/article-pdf/146/Supplement 1/5199/2457524/blood-7946-main.pdf,NA,publishedVersion
https://openalex.org/A5022396529,Philipp Seitz,https://orcid.org/0000-0001-6294-8970,first,FALSE,https://openalex.org/I196349391,Universität Ulm,https://ror.org/032000t02,DE,education,https://openalex.org/I196349391,"Institute of Organic Chemistry II and Advanced Materials, Ulm University, Albert-Einstein-Allee 11, 89081 Ulm, Germany",https://doi.org/10.1021/jacs.5c12590,2025,article,TRUE,Journal of the American Chemical Society,https://openalex.org/S111155417,0002-7863,https://openalex.org/P4310320006,American Chemical Society,https://doi.org/10.1021/jacs.5c12590,NA,cc-by,publishedVersion
https://openalex.org/A5115550071,Serkan Z. Damnali,https://orcid.org/0009-0000-1362-9703,first,TRUE,https://openalex.org/I196349391,Universität Ulm,https://ror.org/032000t02,DE,education,https://openalex.org/I196349391,"BMW AG, Battery Cell Competence Center, Lemgostraße 7, 80935, München, Germany",https://doi.org/10.1016/j.jpowsour.2025.238924,2025,article,TRUE,Journal of Power Sources,https://openalex.org/S177147899,0378-7753,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.jpowsour.2025.238924,NA,cc-by,publishedVersion
NA,Sabrina Weber,https://orcid.org/0009-0004-6004-6817,first,TRUE,https://openalex.org/I196349391,Universität Ulm,https://ror.org/032000t02,DE,education,https://openalex.org/I196349391,"Institute of Stochastics, Ulm University, 89069 Ulm, Germany",https://doi.org/10.1016/j.commatsci.2026.114491,2026,article,TRUE,Computational Materials Science,https://openalex.org/S26018076,0927-0256,https://openalex.org/P4310320990,Elsevier BV,https://doi.org/10.1016/j.commatsci.2026.114491,NA,cc-by,publishedVersion
https://openalex.org/A5099012733,Nina Parchmann,NA,first,TRUE,https://openalex.org/I196349391,Universität Ulm,https://ror.org/032000t02,DE,education,https://openalex.org/I196349391,"Institute of the History, Philosophy and Ethics of Medicine, Ulm University, Oberberghof 7, Ulm, 89081, Germany, 49 73150-39914",https://doi.org/10.2196/71568,2025,article,TRUE,JMIR Aging,https://openalex.org/S4210211124,2561-7605,NA,NA,https://doi.org/10.2196/71568,NA,cc-by,publishedVersion
