parent_id,publisher_x
https://openalex.org/P4310320990,Elsevier BV
https://openalex.org/P4310319965,Springer Nature
https://openalex.org/P4310320257,American Institute of Physics
https://openalex.org/P4310320466,OMICS Publishing Group
https://openalex.org/P4310320595,Wiley
https://openalex.org/P4310316602,American Psychiatric Association
https://openalex.org/P4310319466,Seoul National University
https://openalex.org/P4310314171,Czech Academy of Sciences
https://openalex.org/P4310315903,American Library Association
https://openalex.org/P4310317906,Austrian Academy of Sciences
https://openalex.org/P4310319900,Springer Science+Business Media
https://openalex.org/P4310320014,Vandenhoeck & Ruprecht
https://openalex.org/P4310316602,De Gruyter Brill
https://openalex.org/P4310319787,Royal Society
https://openalex.org/P4310316103,Stanford University
https://openalex.org/P4310320006,American Chemical Society
https://openalex.org/P4310320547,Taylor & Francis
https://openalex.org/P4310317485,Polish Academy of Sciences
https://openalex.org/P4310316010,Columbia University
https://openalex.org/P4310313990,De Gruyter
https://openalex.org/P4310321756,Academy of Sciences of the USSR
https://openalex.org/P4310315572,Duke University
https://openalex.org/P4310316284,Harvard University
https://openalex.org/P4310319982,Science Press
https://openalex.org/P4310316982,European Mathematical Society
https://openalex.org/P4310316177,University of California
https://openalex.org/P4310314207,Charles University
https://openalex.org/P4310314477,University of Ljubljana
https://openalex.org/P4310320535,Russian Academy of Sciences
https://openalex.org/,Fordham University
https://openalex.org/P4310322753,IMR Press
https://openalex.org/P4310320000,Thieme Medical Publishers (Germany)
https://openalex.org/P4310319808,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310319515,Korea University
https://openalex.org/P4310315561,Indiana University
https://openalex.org/P4310321802,National Academy of Sciences of Ukraine
https://openalex.org/P4310316710,University of Colorado Boulder
https://openalex.org/P4310312331,University of São Paulo
https://openalex.org/P4310312667,Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences
https://openalex.org/P4310314295,Masaryk University
https://openalex.org/P4310321776,United Nations
https://openalex.org/P4310311669,Institute of Physics
https://openalex.org/P4310320017,SAGE Publishing
https://openalex.org/P4310316510,Johns Hopkins University
https://openalex.org/P4310311730,University of London
https://openalex.org/P4310318547,Wolters Kluwer
https://openalex.org/P4310320267,Pleiades Publishing
https://openalex.org/P4310316012,Arizona State University
https://openalex.org/P4310313913,Max Planck Society
https://openalex.org/P4310316364,Michigan State University
https://openalex.org/P4310316754,National Institutes of Health
https://openalex.org/P4310315946,New York University
https://openalex.org/P4310320552,C.H. Beck
https://openalex.org/P4310319664,World Health Organization
https://openalex.org/P4310311715,Biochemical Society
https://openalex.org/P4310316273,Princeton University
https://openalex.org/P4310319939,Nomos
https://openalex.org/P4310316198,"University of California, Berkeley"
https://openalex.org/P4310315789,"University of California, Los Angeles"
https://openalex.org/P4310314126,Aschehoug
https://openalex.org/P4310315389,National University of Ireland
https://openalex.org/P4310315690,University of Chicago
https://openalex.org/P4310315742,University of Colorado
https://openalex.org/P4310315751,University of Georgia
https://openalex.org/P4310316579,University of Michigan
https://openalex.org/P4310316230,University of Pennsylvania
https://openalex.org/P4310316937,University of Texas at Austin
https://openalex.org/P4310313000,University of Toronto
https://openalex.org/P4310321323,University of Washington
https://openalex.org/P4310320561,Brill
https://openalex.org/P4310315694,American University
