p_relation_id,child_name,child_id,child_unit,parent_name,parent_id,parent_unit,first_date,last_date
133,Academic Press,https://openalex.org/P4310319955,56,Elsevier BV,https://openalex.org/P4310320990,44,,
45,"Adis, Springer Healthcare",https://openalex.org/P4310320330,249,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
30,AIP Publishing,https://openalex.org/P4310320061,58,American Institute of Physics,https://openalex.org/P4310320257,59,,
74,Allied Academies,https://openalex.org/P4310315810,0,OMICS Publishing Group,https://openalex.org/P4310320466,186,,
308,American Geophysical Union,https://openalex.org/P4310315809,97,Wiley,https://openalex.org/P4310320595,242,,
309,American Psychiatric Association,https://openalex.org/P4310316602,105,American Psychiatric Association,https://openalex.org/P4310316602,105,,
310,American Psychiatric Association Publishing,https://openalex.org/P4320800570,266,American Psychiatric Association,https://openalex.org/P4310316602,105,,
119,American Studies Institute,https://openalex.org/P4310319479,0,Seoul National University,https://openalex.org/P4310319466,12,,
162,Archeologický ústav (Československá akademie věd). Pobočka v Brně,https://openalex.org/P4310314288,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
52,Association of College and Research Libraries,https://openalex.org/P4310316146,0,American Library Association,https://openalex.org/P4310315903,99,,
48,Austrian Academy of Sciences Press,https://openalex.org/P4310319866,0,Austrian Academy of Sciences,https://openalex.org/P4310317906,247,,
240,BioMed Central,https://openalex.org/P4310320256,81,Springer Nature,https://openalex.org/P4310319965,220,2015-05-01,
340,BioMed Central,https://openalex.org/P4310320256,81,Springer Science+Business Media,https://openalex.org/P4310319900,79,2008-10-01,2015-04-30
156,Birkhäuser,https://openalex.org/P4310320186,0,Springer Science+Business Media,https://openalex.org/P4310319900,79,,
252,Böhlau Verlag,https://openalex.org/P4310321073,0,Vandenhoeck & Ruprecht,https://openalex.org/P4310320014,41,,
222,Bohn Stafleu van Loghum,https://openalex.org/P4310319919,0,Springer Science+Business Media,https://openalex.org/P4310319900,79,,
341,Brill,https://openalex.org/P4310320561,60,,,60,1683-05-17,2024-03-03
311,Brill,https://openalex.org/P4310320561,60,De Gruyter Brill,https://openalex.org/P4310313990,282,2024-03-24,
176,British Academy,https://openalex.org/P4310311688,0,Royal Society,https://openalex.org/P4310319787,202,,
154,Cell Press,https://openalex.org/P4310315673,63,Elsevier BV,https://openalex.org/P4310320990,44,,
269,Center for the Study of Language & Information,https://openalex.org/P4310316130,0,Stanford University,https://openalex.org/P4310316103,17,,
8,Chemical Abstracts Service,https://openalex.org/P4310320558,0,American Chemical Society,https://openalex.org/P4310320006,93,,
226,Churchill Livingstone,https://openalex.org/P4310321208,277,Elsevier BV,https://openalex.org/P4310320990,44,,
171,Co-Action Publishing,https://openalex.org/P4310317116,0,Taylor & Francis,https://openalex.org/P4310320547,223,,
242,Collegium Civitas,https://openalex.org/P4310317472,0,Polish Academy of Sciences,https://openalex.org/P4310317485,193,,
9,Columbia University Press,https://openalex.org/P4310316200,268,Columbia University,https://openalex.org/P4310316010,10,,
127,CRC Press,https://openalex.org/P4310320584,0,Taylor & Francis,https://openalex.org/P4310320547,223,,
322,"Cureus, Inc.",https://openalex.org/P4310316779,132,Springer Nature,https://openalex.org/P4310319965,220,2023-01-01,
343,"Cureus, Inc.",https://openalex.org/P4310316779,132,,,132,2009-01-01,2022-12-31
7,Czech Botanical Society,https://openalex.org/P4310320098,0,Czech Academy of Sciences,https://openalex.org/P4310314171,133,,
342,De Gruyter,https://openalex.org/P4310313990,134,,,134,1919-01-01,2024-03-01
312,De Gruyter,https://openalex.org/P4310313990,134,De Gruyter Brill,https://openalex.org/P4310313990,282,2024-03-24,
100,De Gruyter Mouton,https://openalex.org/P4310321051,279,De Gruyter,https://openalex.org/P4310313990,134,1977-01-01,
157,De Gruyter Online,https://openalex.org/P4310314282,280,De Gruyter,https://openalex.org/P4310313990,134,,
152,De Gruyter Open,https://openalex.org/P4310320322,4,De Gruyter,https://openalex.org/P4310313990,134,2014-01-01,
51,Department of Biological Sciences,https://openalex.org/P4310312768,0,Academy of Sciences of the USSR,https://openalex.org/P4310321756,35,,
297,Dover Medical Press,https://openalex.org/P4310320348,0,Taylor & Francis,https://openalex.org/P4310320547,223,2017-01-01,
267,Duke University Press,https://openalex.org/P4310315698,262,Duke University,https://openalex.org/P4310315572,28,,
