child_id,parent_id,child_name,parent_name
https://openalex.org/P4310319955,https://openalex.org/P4310320990,Academic Press,Elsevier BV
https://openalex.org/P4310320330,https://openalex.org/P4310319965,"Adis, Springer Healthcare",Springer Nature
https://openalex.org/P4310320061,https://openalex.org/P4310320257,AIP Publishing,American Institute of Physics
https://openalex.org/P4310315810,https://openalex.org/P4310320466,Allied Academies,OMICS Publishing Group
https://openalex.org/P4310315809,https://openalex.org/P4310320595,American Geophysical Union,Wiley
https://openalex.org/P4310316602,https://openalex.org/P4310316602,American Psychiatric Association,American Psychiatric Association
https://openalex.org/P4320800570,https://openalex.org/P4310316602,American Psychiatric Association Publishing,American Psychiatric Association
https://openalex.org/P4310319479,https://openalex.org/P4310319466,American Studies Institute,Seoul National University
https://openalex.org/P4310314288,https://openalex.org/P4310314171,Archeologický ústav (Československá akademie věd). Pobočka v Brně,Czech Academy of Sciences
https://openalex.org/P4310316146,https://openalex.org/P4310315903,Association of College and Research Libraries,American Library Association
https://openalex.org/P4310319866,https://openalex.org/P4310317906,Austrian Academy of Sciences Press,Austrian Academy of Sciences
https://openalex.org/P4310320256,https://openalex.org/P4310319965,BioMed Central,Springer Nature
https://openalex.org/P4310320186,https://openalex.org/P4310319965,Birkhäuser,Springer Nature
https://openalex.org/P4310321073,https://openalex.org/P4310313990,Böhlau Verlag,De Gruyter Brill
https://openalex.org/P4310319919,https://openalex.org/P4310319965,Bohn Stafleu van Loghum,Springer Nature
https://openalex.org/P4310320561,https://openalex.org/P4310313990,Brill,De Gruyter Brill
https://openalex.org/P4310311688,https://openalex.org/P4310319787,British Academy,Royal Society
https://openalex.org/P4310315673,https://openalex.org/P4310320990,Cell Press,Elsevier BV
https://openalex.org/P4310316130,https://openalex.org/P4310316103,Center for the Study of Language & Information,Stanford University
https://openalex.org/P4310320558,https://openalex.org/P4310320006,Chemical Abstracts Service,American Chemical Society
https://openalex.org/P4310321208,https://openalex.org/P4310320990,Churchill Livingstone,Elsevier BV
https://openalex.org/P4310317116,https://openalex.org/P4310320547,Co-Action Publishing,Taylor & Francis
https://openalex.org/P4310317472,https://openalex.org/P4310317485,Collegium Civitas,Polish Academy of Sciences
https://openalex.org/P4310316200,https://openalex.org/P4310316010,Columbia University Press,Columbia University
https://openalex.org/P4310320584,https://openalex.org/P4310320547,CRC Press,Taylor & Francis
https://openalex.org/P4310316779,https://openalex.org/P4310319965,"Cureus, Inc.",Springer Nature
https://openalex.org/P4310320098,https://openalex.org/P4310314171,Czech Botanical Society,Czech Academy of Sciences
https://openalex.org/P4310313990,https://openalex.org/P4310313990,De Gruyter,De Gruyter Brill
https://openalex.org/P4310321051,https://openalex.org/P4310313990,De Gruyter Mouton,De Gruyter Brill
https://openalex.org/P4310314282,https://openalex.org/P4310313990,De Gruyter Online,De Gruyter Brill
https://openalex.org/P4310320322,https://openalex.org/P4310313990,De Gruyter Open,De Gruyter Brill
https://openalex.org/P4310312768,https://openalex.org/P4310321756,Department of Biological Sciences,Academy of Sciences of the USSR
https://openalex.org/P4310320348,https://openalex.org/P4310320547,Dover Medical Press,Taylor & Francis
https://openalex.org/P4310315698,https://openalex.org/P4310315572,Duke University Press,Duke University
https://openalex.org/P4310316275,https://openalex.org/P4310316284,Dumbarton Oaks,Harvard University
https://openalex.org/P4310319748,https://openalex.org/P4310319982,EDP Sciences,Science Press
https://openalex.org/P4310320339,https://openalex.org/P4310316177,"eScholarship Publishing, University of California",University of California
https://openalex.org/P4310314232,https://openalex.org/P4310314207,"Faculty of Arts, Charles University in Prague",Charles University
https://openalex.org/P4310314498,https://openalex.org/P4310314477,Faculty of Law – University of Ljubljana,University of Ljubljana
https://openalex.org/P4310314526,https://openalex.org/P4310314477,Faculty of Theology – University of Ljubljana,University of Ljubljana
https://openalex.org/P4310312666,https://openalex.org/P4310320535,Federal Center of Theoretical and Applied Sociology of the Russian Academy of Sciences,Russian Academy of Sciences
https://openalex.org/P4310314351,https://openalex.org/P4310314207,"First Faculty of Medicine, Charles University",Charles University
https://openalex.org/P4310320848,https://openalex.org/P4310322753,Frontiers in Bioscience,IMR Press
https://openalex.org/P4310321135,https://openalex.org/P4310320000,Georg Thieme Verlag,Thieme Medical Publishers (Germany)
https://openalex.org/P4310312632,https://openalex.org/P4310320535,Gorky Institute of World Literature,Russian Academy of Sciences
https://openalex.org/P4310320295,https://openalex.org/P4310316284,Harvard Law School,Harvard University
https://openalex.org/P4310315711,https://openalex.org/P4310316284,Harvard University Press,Harvard University
https://openalex.org/P4310320374,https://openalex.org/P4310320547,Heldref Publications,Taylor & Francis
https://openalex.org/P4310319869,https://openalex.org/P4310320595,Hindawi Publishing Corporation,Wiley
https://openalex.org/P4310316866,https://openalex.org/P4310316103,Hoover Institution,Stanford University
https://openalex.org/P4310320753,https://openalex.org/P4310319808,IEEE Antennas & Propagation Society,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310316002,https://openalex.org/P4310319808,IEEE Communications Society,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310320439,https://openalex.org/P4310319808,IEEE Computer Society,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310321340,https://openalex.org/P4310319808,IEEE Council on Superconductivity,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310322189,https://openalex.org/P4310319808,IEEE Education Society,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310322504,https://openalex.org/P4310319808,IEEE Engineering in Medicine and Biology Society,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310320755,https://openalex.org/P4310319808,IEEE Magnetics Society,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310322178,https://openalex.org/P4310319808,IEEE Photonics Society,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310322244,https://openalex.org/P4310319808,IEEE Power & Energy Society,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310321027,https://openalex.org/P4310319808,IEEE Sensors Council,Institute of Electrical and Electronics Engineers
https://openalex.org/P4310319510,https://openalex.org/P4310319515,Ilmin International Relations Institute,Korea University
https://openalex.org/P4310315935,https://openalex.org/P4310315561,Indiana University Bloomington,Indiana University
https://openalex.org/P4310319732,https://openalex.org/P4310315561,Indiana University Press,Indiana University
https://openalex.org/P4310316241,https://openalex.org/P4310315561,Indiana University – Purdue University Indianapolis,Indiana University
https://openalex.org/P4310322216,https://openalex.org/P4310321802,Institute for Condensed Matter Physics of NAS of Ukraine,National Academy of Sciences of Ukraine
https://openalex.org/P4310322609,https://openalex.org/P4310319466,"Institute for Russian, East European and Eurasian Studies",Seoul National University
https://openalex.org/P4310314410,https://openalex.org/P4310314171,Institute of Archaeology of the Czech Academy of Sciences,Czech Academy of Sciences
https://openalex.org/P4310317278,https://openalex.org/P4310317485,Institute of Archeology and Ethnology of the Polish Academy of Sciences,Polish Academy of Sciences
https://openalex.org/P4310316321,https://openalex.org/P4310315742,Institute of Arctic and Alpine Research,University of Colorado
https://openalex.org/P4310314347,https://openalex.org/P4310314171,Institute of Art History of the Czech Academy of Sciences,Czech Academy of Sciences
https://openalex.org/P4310317414,https://openalex.org/P4310317485,Institute of Art of the Polish Academy of Sciences,Polish Academy of Sciences
https://openalex.org/P4310314349,https://openalex.org/P4310314171,Institute of Contemporary History of the Czech Academy of Sciences,Czech Academy of Sciences
https://openalex.org/P4310314425,https://openalex.org/P4310314171,"Institute of Czech Literature, Czech Academy of Sciences",Czech Academy of Sciences
https://openalex.org/P4310314203,https://openalex.org/P4310314171,Institute of Entomology,Czech Academy of Sciences
https://openalex.org/P4310314208,https://openalex.org/P4310314171,"Institute of Ethnology, Czech Academy of Sciences",Czech Academy of Sciences
https://openalex.org/P4310314217,https://openalex.org/P4310314171,Institute of Experimental Botany of the Czech Academy of Sciences,Czech Academy of Sciences
https://openalex.org/P4310317331,https://openalex.org/P4310317485,Institute of History,Polish Academy of Sciences
https://openalex.org/P4310314215,https://openalex.org/P4310314171,"Institute of History, Czech Academy of Sciences",Czech Academy of Sciences
https://openalex.org/P4310314340,https://openalex.org/P4310314171,Institute of Information Theory and Automation of the Czech Academy of Sciences,Czech Academy of Sciences
https://openalex.org/P4310311977,https://openalex.org/P4310312331,"Institute of Mathematics and Statistics, University of São Paulo",University of São Paulo
https://openalex.org/P4310322158,https://openalex.org/P4310314171,Institute of Mathematics of the Czech Academy of Sciences,Czech Academy of Sciences
https://openalex.org/P4310322009,https://openalex.org/P4310321802,Institute of Mathematics of the National Academy of Sciences of Ukraine,National Academy of Sciences of Ukraine
https://openalex.org/P4310322512,https://openalex.org/P4310321802,Institute of Molecular Biology and Genetics of NASU,National Academy of Sciences of Ukraine
https://openalex.org/P4310317262,https://openalex.org/P4310317485,"Institute of Nature Conservation, Polish Academy of Sciences",Polish Academy of Sciences
https://openalex.org/P4310317382,https://openalex.org/P4310317485,Institute of Paleobiology,Polish Academy of Sciences
https://openalex.org/P4310314179,https://openalex.org/P4310314171,Institute of Parasitology of the Czech Academy of Sciences,Czech Academy of Sciences
https://openalex.org/P4310317267,https://openalex.org/P4310317485,Institute of Philosophy and Sociology of the Polish Academy of Sciences,Polish Academy of Sciences
